,lat,long,bedrooms,bathrooms,floors,waterfront,grade,condition,sqft_living,sqft_lot,sqft_above,sqft_basement,yr_built,yr_renovated,year_2014,quarter_0,quarter_1,quarter_2,price
0,47.6747,-122.303,4,2.25,2.0,1,8,5,3750,5000,2440,1310,94,0,0,0,1,0,1310000
1,47.6914,-122.30799999999999,2,1.75,1.0,1,6,3,1390,6670,720,670,77,0,0,0,1,0,445500
2,47.5951,-122.14399999999999,5,2.0,1.5,1,7,3,1870,7344,1870,0,58,0,0,0,1,0,450000
3,47.3273,-122.37,3,2.0,1.0,1,7,4,1410,44866,1410,0,33,0,0,0,1,0,335000
4,47.3584,-122.163,5,3.0,2.0,1,9,3,3223,6371,3223,0,4,0,0,0,1,0,479349
5,47.3658,-122.04,4,2.5,2.0,1,9,3,2580,11780,2580,0,15,0,0,0,1,0,456500
6,47.4685,-122.28200000000001,3,1.0,1.0,1,7,3,1170,7320,1170,0,56,0,0,0,1,0,183000
7,47.401,-122.171,4,2.5,2.0,1,7,3,2020,7289,2020,0,24,0,0,0,1,0,360000
8,47.5192,-122.266,5,2.0,1.5,1,6,3,1430,5600,1430,0,71,0,0,0,1,0,440000
9,47.5607,-122.391,4,1.75,1.0,1,8,4,1980,5850,1380,600,58,0,0,0,1,0,725000
10,47.6542,-122.331,5,3.0,2.0,1,9,3,3320,5354,3320,0,14,0,0,0,1,0,1695000
11,47.6854,-122.331,3,1.75,1.0,1,7,3,1900,4000,1300,600,53,0,0,0,1,0,855000
12,47.5322,-122.075,4,3.5,2.0,1,10,3,2630,3757,2200,430,10,0,0,0,1,0,749950
13,47.7052,-122.34299999999999,2,2.75,2.0,1,8,3,1370,1140,1080,290,9,0,0,0,1,0,359000
14,47.4161,-122.441,4,3.5,2.0,1,8,3,2490,18042,2490,0,15,0,0,0,1,0,495000
15,47.6232,-122.236,4,2.25,2.0,1,9,4,2350,17709,2350,0,41,0,0,0,1,0,1620000
16,47.5987,-122.029,5,3.5,1.0,1,10,3,3730,16679,2760,970,28,0,0,0,1,0,775000
17,47.3411,-122.197,3,2.75,2.0,1,9,3,3370,13929,2650,720,32,0,0,0,1,0,425000
18,47.7401,-122.249,3,2.25,1.0,1,7,3,1820,15000,1480,340,40,0,0,0,1,0,480000
19,47.4167,-122.302,3,1.0,1.0,1,6,4,970,8710,970,0,56,0,0,0,1,0,170000
20,47.4563,-122.184,2,1.0,1.0,1,6,3,800,9450,800,0,60,0,0,0,1,0,180000
21,47.7649,-122.205,4,1.75,1.5,1,7,4,1640,7194,1480,160,103,0,0,0,1,0,465000
